Title,Genre,Premiere,Seasons,Runtime,Status
Stranger Things,Science fiction/horror,"July 15, 2016","3 seasons, 25 episodes",42–78 min.,Renewed
The Crown,Historical drama,"November 4, 2016","4 seasons, 40 episodes",47–61 min.,Renewed for seasons 5 and 6 (final)
Ozark,Crime drama,"July 21, 2017","3 seasons, 30 episodes",52–80 min.,Renewed for two part final season
Lost in Space,Science fiction,"April 13, 2018","2 seasons, 20 episodes",39–66 min.,Renewed for final season
Chilling Adventures of Sabrina,Supernatural coming-of-age horror,"October 26, 2018","3 parts, 28 episodes",50–64 min.,"Final part due to premiere on December 31, 2020"
Narcos: Mexico,Crime drama,"November 16, 2018","2 seasons, 20 episodes",45–70 min.,Renewed
The Umbrella Academy,Superhero action,"February 15, 2019","2 seasons, 20 episodes",40–60 min.,Renewed
Black Summer,Zombie drama,"April 11, 2019","1 season, 8 episodes",21–45 min.,Renewed
Another Life,Science fiction drama,"July 25, 2019","1 season, 10 episodes",37–61 min.,Renewed
Criminal: UK,Police procedural anthology series,"September 20, 2019","2 seasons, 7 episodes",41–47 min.,Pending
Raising Dion,Superhero/Science fiction drama,"October 4, 2019","1 season, 9 episodes",39–51 min.,Renewed
Virgin River,Romantic drama,"December 6, 2019","2 seasons, 20 episodes",40–49 min.,Pending
The Witcher,Fantasy drama,"December 20, 2019","1 season, 8 episodes",47–67 min.,Renewed
Locke & Key,Horror teen drama,"February 7, 2020","1 season, 10 episodes",40–56 min.,Renewed
The Letter for the King,Fantasy,"March 20, 2020","1 season, 6 episodes",40–51 min.,Pending
Outer Banks,Coming-of-age drama,"April 15, 2020","1 season, 10 episodes",46–56 min.,Renewed
Sweet Magnolias,Romance drama,"May 19, 2020","1 season, 10 episodes",43–52 min.,Renewed
Blood & Water,Teen drama,"May 20, 2020","1 season, 6 episodes",43–53 min.,Renewed
Homemade,Anthology series,"June 30, 2020","1 volume, 17 episodes",4–11 min.,Pending
Warrior Nun,Fantasy,"July 2, 2020","1 season, 10 episodes",37–50 min.,Renewed
Cursed,Fantasy,"July 17, 2020","1 season, 10 episodes",48–59 min.,Pending
Young Wallander,Detective drama,"September 3, 2020","1 season, 6 episodes",41–52 min.,Renewed
Ratched,Drama,"September 18, 2020","1 season, 8 episodes",45–62 min,Renewed
The Haunting of Bly Manor,Horror,"October 9, 2020",9 episodes,45–66 min.,Miniseries
Social Distance,Anthology series,"October 15, 2020","1 season, 8 episodes",18–23 min.,Pending
Grand Army,Teen drama,"October 16, 2020","1 season, 9 episodes",47–72 min.,Pending
The Queen's Gambit,Drama,"October 23, 2020",7 episodes,46–67 min.,Miniseries
Dash & Lily,Romance,"November 10, 2020","1 season, 8 episodes",23–27 min.,Pending
Selena: The Series,Biopic,"December 4, 2020","1 part, 9 episodes",33–41 min.,Pending
Awaiting release,Awaiting release,Awaiting release,Awaiting release,Awaiting release,Awaiting release
Tiny Pretty Things,Teen drama,"December 14, 2020","1 season, 10 episodes",TBA,Pending
Bridgerton,Romance,"December 25, 2020","1 season, 8 episodes",TBA,Pending
Fate: The Winx Saga,Teen drama fantasy,"January 22, 2021","1 season, 6 episodes",TBA,Pending
Firefly Lane,Drama,"February 3, 2021","1 season, 10 episodes",TBA,Pending
Grace and Frankie,Comedy-drama,"May 8, 2015","6 seasons, 78 episodes",25–35 min.,Renewed for final season
Dear White People,Satire/drama,"April 28, 2017","3 volumes, 30 episodes",21–36 min.,Renewed for final season
Atypical,Coming-of-age comedy,"August 11, 2017","3 seasons, 28 episodes",26–38 min.,Renewed for final season
On My Block,Coming-of-age comedy,"March 16, 2018","3 seasons, 28 episodes",23–36 min.,Pending
The Kominsky Method,Comedy,"November 16, 2018","2 seasons, 16 episodes",22–34 min.,Renewed for final season
Sex Education,Comedy-drama,"January 11, 2019","2 seasons, 16 episodes",47–59 min.,Renewed
Russian Doll,Comedy,"February 1, 2019","1 season, 8 episodes",25–30 min.,Renewed
After Life,Comedy,"March 8, 2019","2 seasons, 12 episodes",25–31 min.,Renewed
Special,Comedy,"April 12, 2019","1 season, 8 episodes",12–17 min.,Renewed
I Think You Should Leave with Tim Robinson,Sketch comedy,"April 23, 2019","1 season, 6 episodes",16–18 min.,Renewed
Bonding,Dark comedy,"April 24, 2019","1 season, 7 episodes",13–17 min.,Renewed
Dead to Me,Black comedy-drama,"May 3, 2019","2 seasons, 20 episodes",26–33 min.,Renewed for final season
Malibu Rescue: The Series,Comedy,"June 3, 2019","1 season, 8 episodes",22–26 min.,Renewed
Mr. Iglesias,Comedy,"June 21, 2019","3 parts, 21 episodes",25–32 min.,Pending
Family Reunion,Comedy,"July 10, 2019","2 parts, 19 episodes",25–34 min.,Renewed
Team Kaylie,Sitcom,"September 23, 2019","3 parts, 20 episodes",22-30 min.,Pending
The Politician,Comedy,"September 27, 2019","2 seasons, 15 episodes",28–62 min.,Pending
Medical Police,Comedy,"January 10, 2020","1 season, 10 episodes",21–29 min.,Pending
The Healing Powers of Dude,Family comedy,"January 13, 2020","1 season, 8 episodes",23-28 min.,Pending
Gentefied,Comedy-drama,"February 21, 2020","1 season, 10 episodes",25–31 min.,Renewed
